"DATE OF CONTACT","TIME OF CONTACT","INCIDENT NUMBER","STEP INDICATOR","GEO CODE","ANONYMOUS HOUSE NUMBER","ADDRESS STREET","CROSS STREET","MOTIVATION FOR STOP DESC","RACE DESCRIPTION","SEX DESCRIPTION","AGE AT CONTACT","RESIDENCY CODE","REASON FOR STOP","TYPE OF VIOLATION","CRIME CATEGORY","CRIME CATEGORY DESCRIPTION","CRIME CODE","CRIME DESCRIPTION","CRIME STATUS DESCRIPTION","VEHICLE YEAR","VEHICLE CONSENT SEARCH REQUESTED","VEHICLE CONSENT SEARCH GRANTED","PARAPHRENALIA FOUND VEHICLE CONSENT SEARCH","ALCOHOL FOUND VEHICLE CONSENT SEARCH","WEAPON FOUND VEHICLE CONSENT SEARCH","STOLEN PROPERTY FOUND VEHICLE CONSENT SEARCH","OTHER CONTRABAND FOUND VEHICLE CONSENT SEARCH","DRUG AMOUNT FOUND VEHICLE CONSENT SEARCH","CANINE SNIFF PERFORMED","CANINE ALERTED","CANINE SEARCH CONDUCTED","PARAPHRENALIA FOUND CANINE SEARCH","ALCOHOL FOUND CANINE SEARCH","WEAPON FOUND CANINE SEARCH","STOLEN PROPERTY FOUND CANINE SEARCH","OTHER CONTRABAND FOUND CANINE SEARCH","DRUG AMOUNT FOUND CANINE SEARCH","ANY CONTRABAND FOUND IN VEHICLE CONSENT OR CANINE SEARCH","CONSENT OR DOG SNIFF SEARCH CONDUCTED","MAPPING ADDRESS"
"2021 Nov 18 12:00:00 AM","19:43","UU2121468","NOT STEP","65 -","1","PHILO RD S","SILVER ST E","TRAFFIC ISSUE","BLACK","FEMALE","18","Y","MOVING VIOLATION","OTHER","C18","Weapons Offenses","1410","UNLAWFUL USE OF WEAPONS","ADMINISTRATIVELY CLOSED","2017","false","false","YES","NO","YES","NO","NO","<2 GRAMS","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1 PHILO RD S"
"2022 Nov 18 12:00:00 AM","11:12","UW2200508","NOT STEP","65 -","1","COLORADO","ANDERSON","TRAFFIC ISSUE","WHITE","MALE","31","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2014","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1 COLORADO"
"2022 Nov 18 12:00:00 AM","1:00","UT2203068","NOT STEP","65 -","1","GROVE","PENNSYLVANIA","TRAFFIC ISSUE","BLACK","FEMALE","20","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","2470","NO VALID DL DRIVERS LICENSE","CLEARED BY ADULT ARREST","2002","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1 GROVE"
"2022 Nov 18 12:00:00 AM","1:20","UW2200507","NOT STEP","64 -","1","VINE","WASHINGTON","TRAFFIC ISSUE","WHITE","MALE","19","N","MOVING VIOLATION","LANE VIOLATION","C28","Traffic Offenses","6608","IMPROPER LANE USAGE","TRAFFIC WARNING TICKET","2014","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1 VINE"
"2013 Nov 19 12:00:00 AM","00:35","UT1305785","NOT STEP","575-11","1100","LINCOLN AVE S",,,"BLACK","FEMALE","21","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","2470","NO VALID DL DRIVERS LICENSE","CLEARED BY ADULT ARREST","2009","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1100 LINCOLN AVE S"
"2013 Nov 19 12:00:00 AM","00:35","UT1305785","NOT STEP","575-11","1100","LINCOLN AVE S",,,"BLACK","FEMALE","21","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","2009","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1100 LINCOLN AVE S"
"2013 Nov 19 12:00:00 AM","05:30","UW1301754","NOT STEP","545-09","0","UNIVERSITY","WRIGHT",,"WHITE","FEMALE","24","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","TRAFFIC WARNING TICKET","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","06:00","UT1305787","NOT STEP","547-11","0","VINE","MAIN",,"WHITE","FEMALE","24","Y","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2005","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 VINE"
"2013 Nov 19 12:00:00 AM","06:00","UT1305787","NOT STEP","547-11","0","VINE","MAIN",,"WHITE","FEMALE","24","Y","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","TRAFFIC WARNING TICKET","2005","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 VINE"
"2013 Nov 19 12:00:00 AM","09:07","UT1305790","NOT STEP","547-12","500","MAIN E",,,"BLACK","FEMALE","56","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6694","OBSTRUCTED/TINTED WINDSHIELD","CLEARED BY ADULT ARREST","2011","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","500 MAIN E"
"2013 Nov 19 12:00:00 AM","10:33","UW1301755","NOT STEP","546-11","100","UNIVERSITY W",,,"WHITE","MALE","29","Y","MOVING VIOLATION","OTHER","C28","Traffic Offenses","6614","FAILURE TO SIGNAL","TRAFFIC WARNING TICKET","1999","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","100 UNIVERSITY W"
"2013 Nov 19 12:00:00 AM","10:37","UT1305796S","STEP","546-11","0","CUNNINGHAM","UNIVERSITY",,"WHITE","FEMALE","58","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 CUNNINGHAM"
"2013 Nov 19 12:00:00 AM","10:43","UT1305791","NOT STEP","547-08","0","UNIVERSITY","BROADWAY",,"WHITE","FEMALE","43","N","MOVING VIOLATION","OTHER","C28","Traffic Offenses","6614","FAILURE TO SIGNAL","CLEARED BY ADULT ARREST","2013","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","10:56","UW1301757S","STEP","546-11","0","UNIVERITY","CENTRAL",,"WHITE","MALE","44","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","TRAFFIC WARNING TICKET","2004","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERITY"
"2013 Nov 19 12:00:00 AM","11:02","UT1305792","NOT STEP","547-08","100","UNIVERSITY E",,,"BLACK","MALE","35","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1996","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","100 UNIVERSITY E"
"2013 Nov 19 12:00:00 AM","11:09","UT1305813S","STEP","547-08","0","UNIVERSITY","CUNNINGHAM",,"HISPANIC","MALE","35","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1995","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:12","UT1305797S","STEP","546-11","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","42","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2001","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:27","UT1305798S","STEP","546-11","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","41","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2007","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:32","UT1305817S","STEP","547-08","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","79","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:43","UT1305799S","STEP","546-10","0","CUNNINGHAM","UNIVERSITY",,"ASIAN","MALE","23","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","6687","FAILURE TO YIELD TO EMERGENCY VEH","CLEARED BY ADULT ARREST","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 CUNNINGHAM"
"2013 Nov 19 12:00:00 AM","11:43","UT1305799S","STEP","546-10","0","CUNNINGHAM","UNIVERSITY",,"ASIAN","MALE","23","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2470","NO VALID DL DRIVERS LICENSE","CLEARED BY ADULT ARREST","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 CUNNINGHAM"
"2013 Nov 19 12:00:00 AM","11:53","UT1305806S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"WHITE","MALE","20","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1997","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:53","UT1305806S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"WHITE","MALE","20","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","1997","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","11:54","UT1305793","NOT STEP","547-08","100","UNIVERSITY E",,,"WHITE","MALE","49","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2001","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","100 UNIVERSITY E"
"2013 Nov 19 12:00:00 AM","12:06","UT1305816S","STEP","547-08","0","UNIVERSITY","BROADWAY",,"WHITE","MALE","18","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2001","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:09","UT1305794","NOT STEP","547-08","100","UNIVERSITY E",,,"WHITE","MALE","50","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2002","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","100 UNIVERSITY E"
"2013 Nov 19 12:00:00 AM","12:11","UT1305802S","STEP","546-11","0","UNIVERSITY","CUNNINGHAM",,"WHITE","FEMALE","33","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2007","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:22","UT1305815S","STEP","547-08","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","28","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1998","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:25","UT1305809S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"WHITE","FEMALE","46","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:40","UT1305814S","STEP","547-08","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","79","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1989","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:45","UW1301756S","STEP","546-11","0","UNIVERSITY","CUNNINGHAM",,"WHITE","FEMALE","55","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","TRAFFIC WARNING TICKET","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","12:51","UW1301758S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"WHITE","FEMALE","73","Y","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","TRAFFIC WARNING TICKET","2012","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","13:03","UT1305803S","STEP","546-10","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","NN","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","TRAFFIC WARNING TICKET","1992","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","13:07","UT1305810S","STEP","546-11","0","UNIVERSITY","CUNNINGHAM",,"WHITE","MALE","37","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6606","TRAFFIC SIGNAL VIOLATION","CLEARED BY ADULT ARREST","2010","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","13:19","UT1305811S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"WHITE","MALE","52","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","1991","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","13:31","UT1305812S","STEP","546-11","0","UNIVERSITY","BROADWAY",,"BLACK","FEMALE","50","N","MOVING VIOLATION","SEAT BELT","C28","Traffic Offenses","2485","SEAT BELT-DRIVER & PASSENGER","CLEARED BY ADULT ARREST","2001","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","18:05","UT1305795","NOT STEP","575-04","0","ILLINOIS","RACE",,"WHITE","FEMALE","20","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","CLEARED BY ADULT ARREST","2002","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 ILLINOIS"
"2013 Nov 19 12:00:00 AM","19:50","UW1301759","NOT STEP","575-04","0","RACE","ILLINOIS",,"WHITE","MALE","46","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6631","NO TAILLIGHTS","TRAFFIC WARNING TICKET","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 RACE"
"2013 Nov 19 12:00:00 AM","20:00","UW1301766","NOT STEP","546-09","0","LINCOLN","UNIVERSITY",,"BLACK","FEMALE","21","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6606","TRAFFIC SIGNAL VIOLATION","TRAFFIC WARNING TICKET","1997","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
"2013 Nov 19 12:00:00 AM","20:03","UT1305826","NOT STEP","575-01","0","GREEN","GOODWIN",,"BLACK","MALE","20","Y","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 GREEN"
"2013 Nov 19 12:00:00 AM","20:03","UT1305826","NOT STEP","575-01","0","GREEN","GOODWIN",,"BLACK","MALE","20","Y","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","TRAFFIC WARNING TICKET","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 GREEN"
"2013 Nov 19 12:00:00 AM","20:05","UW1301764","NOT STEP","546-11","0","UNIVERSITY","BROADWAY",,"ASIAN","MALE","43","N","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6690","NO REAR REGISTRATION LIGHT","TRAFFIC WARNING TICKET","1999","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2013 Nov 19 12:00:00 AM","20:16","UT1305827","NOT STEP","575-04","0","GREEN ST","RACE",,"BLACK","FEMALE","40","Y","MOVING VIOLATION","LANE VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","1997","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 GREEN ST"
